"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"2",77,"3",0,"1","1","4","1","2",2,0,0,2,"1",78,"1","2","1",64291.332105,3.09
"1",65,"2",0,"2","2","3","2","2",2,0,0,2,"2",64,"2","4","1",19223.252968,1.61
"2",78,"3",0,"1","1","2","1","2",1,0,0,1,"2",78,"1","2","3",19802.214967,0.78
"2",66,"3",0,"1","1","3","1","2",2,0,0,2,"1",72,"1","4","1",76613.875616,4.51
"2",79,"3",0,"1","1","4","1","2",2,0,0,2,"1",80,"1","4","1",68573.686426,3.61
"2",57,"3",0,"1","1","5","1","2",2,0,0,1,"1",80,"2","3","1",84145.999065,3.18
"1",23,"3",0,"1","1","4","1","2",1,0,0,0,"1",23,"1","4","6",75477.903922,2.74
"1",47,"6",0,"2","2","5","1","2",4,1,0,0,"1",47,"2","5","1",15836.447816,4.19
"2",48,"3",0,"1","1","2","1","2",2,0,0,0,"1",52,"1","4","1",82152.110665,3.81
"1",54,"3",0,"1","1","4","1","2",4,0,1,1,"2",62,"2","4","1",25346.245212,1.44
"1",69,"1",0,"1","1","5","1","2",3,0,0,2,"1",46,"1","5","6",18961.371824,5
"1",64,"4",1,"1","1","3","1","2",2,0,0,1,"2",57,"1","4","1",14122.831429,2
"2",29,"3",0,"1","1","5","1","2",3,1,0,0,"2",29,"1","5","1",91379.032547,5
"2",38,"3",0,"1","1","4","1","2",3,0,1,0,"2",38,"1","4","1",107737.369017,3.07
"1",25,"3",1,"1","1","5","1","2",1,0,0,0,"1",25,"1","5","5",92929.67535,4.35
"1",53,"4",0,"1","1","4","1","2",3,0,1,0,"1",53,"1","4","1",21581.588345,1.02
"1",48,"4",1,"1","1","3","1","2",3,0,1,0,"2",46,"1","5","1",38313.250912,3.03
"2",80,"3",0,"1","1","3","1","2",1,0,0,1,"2",80,"1","3","3",38359.427853,2.18
"2",80,"4",0,"1","1","4","1","2",1,0,0,1,"2",80,"1","4","2",21300.728746,3.31
"1",77,"3",0,"1","1","4","1","2",2,0,0,2,"1",77,"1","4","1",65915.732311,5
"2",80,"3",0,"1","1","4","1","2",2,0,0,1,"2",80,"1","4","2",73783.534447,3.05
"2",67,"1",0,"1","1","3","1","2",7,0,4,1,"2",33,"1","3","1",13530.848271,1.34
"1",46,"3",0,"1","1","4","1","2",4,0,1,0,"2",47,"1","4","1",85445.096077,2.59
"1",48,"1",0,"1","1","3","1","2",3,0,0,0,"2",50,"1","2","5",35862.473154,1.28
"1",80,"3",0,"2","1","3","1","2",2,0,0,1,"1",80,"2","3","1",22729.702215,3.18
"2",30,"7",0,"1","1","5","1","2",6,1,2,0,"2",50,"1","5","3",17065.637254,2.19
