time,group,PCTPOV,POV,POP,RACE_NAME
2006,Asian,10.3,1353000,13180000,Asian Alone
2006,Black,24.3,9048000,37310000,Black Alone
2006,Hispanic,20.6,9243000,44780000,Hispanic (of any race)
2006,White,8.2,16010000,196000000,"White Alone, Not Hispanic"
2007,All,12.5,37280000,298700000,All Races
2007,Asian,10.2,1349000,13260000,Asian Alone
2007,Black,24.5,9237000,37670000,Black Alone
2007,Hispanic,21.5,9890000,45930000,Hispanic (of any race)
2007,White,8.2,16030000,196600000,"White Alone, Not Hispanic"
2008,All,13.2,39830000,301000000,All Races
2008,Asian,11.8,1576000,13310000,Asian Alone
2008,Black,24.7,9379000,37970000,Black Alone
2008,Hispanic,23.2,10990000,47400000,Hispanic (of any race)
2008,White,8.6,17020000,196900000,"White Alone, Not Hispanic"
2009,All,14.3,43570000,303800000,All Races
2009,Asian,12.5,1746000,14010000,Asian Alone
2009,Black,25.8,9944000,38560000,Black Alone
2009,Hispanic,25.3,12350000,48810000,Hispanic (of any race)
2009,White,9.4,18530000,197200000,"White Alone, Not Hispanic"
2010,All,15.1,46340000,306100000,All Races
2010,Asian,12.2,1899000,15610000,Asian Alone
2010,Black,27.4,10750000,39280000,Black Alone
2010,Hispanic,26.5,13520000,50970000,Hispanic (of any race)
2010,White,9.9,19250000,194800000,"White Alone, Not Hispanic"
2011,All,15,46250000,308500000,All Races
2011,Asian,12.3,1973000,16090000,Asian Alone
2011,Black,27.6,10930000,39610000,Black Alone
2011,Hispanic,25.3,13240000,52280000,Hispanic (of any race)
2011,White,9.8,19170000,195000000,"White Alone, Not Hispanic"
2012,All,15,46500000,310600000,All Races
2012,Asian,11.7,1921000,16420000,Asian Alone
2012,Black,27.2,10910000,40130000,Black Alone
2012,Hispanic,25.6,13620000,53110000,Hispanic (of any race)
2012,White,9.7,18940000,195100000,"White Alone, Not Hispanic"
2013,All,14.8,46270000,313100000,All Races
2013,Asian,13.1,2255000,17260000,Asian Alone
2013,Black,25.2,10190000,40500000,Black Alone
2013,Hispanic,24.7,13360000,54180000,Hispanic (of any race)
2013,White,10,19550000,195100000,"White Alone, Not Hispanic"
2014,All,14.8,46660000,315800000,All Races
2014,Asian,12,2137000,17790000,Asian Alone
2014,Black,26.2,10760000,41110000,Black Alone
2014,Hispanic,23.6,13100000,55500000,Hispanic (of any race)
2014,White,10.1,19650000,195200000,"White Alone, Not Hispanic"
2015,All,13.5,43120000,318500000,All Races
2015,Asian,11.4,2078000,18240000,Asian Alone
2015,Black,24.1,10020000,41630000,Black Alone
2015,Hispanic,21.4,12130000,56780000,Hispanic (of any race)
2015,White,9.1,17790000,195500000,"White Alone, Not Hispanic"
2016,All,12.7,40620000,319900000,All Races
2016,Asian,10.1,1908000,18880000,Asian Alone
2016,Black,22,9234000,41960000,Black Alone
2016,Hispanic,19.4,11140000,57560000,Hispanic (of any race)
2016,White,8.8,17260000,195200000,"White Alone, Not Hispanic"
2017,All,12.3,39560000,322500000,All Races
2017,Asian,10,1953000,19480000,Asian Alone
2017,Black,21.2,8993000,42470000,Black Alone
2017,Hispanic,18.3,10790000,59050000,Hispanic (of any race)
2017,White,8.7,16990000,195300000,"White Alone, Not Hispanic"
2018,All,11.8,38150000,323800000,All Races
2018,Asian,10.1,1996000,19770000,Asian Alone
2018,Black,20.8,8884000,42770000,Black Alone
2018,Hispanic,17.6,10530000,59960000,Hispanic (of any race)
2018,White,8.1,15730000,194800000,"White Alone, Not Hispanic"
2019,All,10.5,33980000,324800000,All Races
2019,Asian,7.3,1464000,19930000,Asian Alone
2019,Black,18.8,8073000,42970000,Black Alone
2019,Hispanic,15.7,9545000,60600000,Hispanic (of any race)
2019,White,7.3,14150000,194600000,"White Alone, Not Hispanic"
2020,All,11.5,37550000,327600000,All Races
2020,Asian,8.1,1645000,20350000,Asian Alone
2020,Black,19.6,8556000,43690000,Black Alone
2020,Hispanic,17,10520000,61770000,Hispanic (of any race)
2020,White,8.2,16040000,195100000,"White Alone, Not Hispanic"
2021,All,11.6,37930000,328200000,All Races
2021,Asian,9.3,1922000,20680000,Asian Alone
2021,Black,19.5,8583000,43980000,Black Alone
2021,Hispanic,17.1,10690000,62480000,Hispanic (of any race)
2021,White,8.1,15800000,194300000,"White Alone, Not Hispanic"
2022,All,11.5,37920000,330100000,All Races
2022,Asian,8.6,1866000,21590000,Asian Alone
2022,Black,17.1,7626000,44520000,Black Alone
2022,Hispanic,16.9,10780000,63790000,Hispanic (of any race)
2022,White,8.6,16690000,193200000,"White Alone, Not Hispanic"
2023,All,11.1,36790000,331800000,All Races
2023,Asian,9.1,1975000,21820000,Asian Alone
2023,Black,17.9,8020000,44870000,Black Alone
2023,Hispanic,16.6,10890000,65400000,Hispanic (of any race)
2023,White,7.7,14890000,192600000,"White Alone, Not Hispanic"
2024,All,10.6,35880000,337300000,All Races
2024,Asian,7.5,1753000,23530000,Asian Alone
2024,Black,18.4,8401000,45700000,Black Alone
2024,Hispanic,15,10280000,68400000,Hispanic (of any race)
2024,White,7.6,14560000,192800000,"White Alone, Not Hispanic"
