"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"2",57,"3",0,"1","1","3","1","2",4,0,1,1,"2",57,"1","3","1",101812.197772,1.68
"1",61,"3",0,"1","1","4","1","2",3,0,0,2,"1",61,"1","4","1",70427.80792,5
"1",55,"3",1,"1","1","3","1","2",4,0,2,0,"1",55,"1","3","1",26108.80047,0.72
"2",45,"3",0,"1","1","2","1","2",2,0,0,0,"2",45,"1","2","1",93150.141339,3.05
"1",38,"3",0,"1","1","5","1","2",4,1,1,0,"2",38,"1","5","1",84120.656677,4.67
"2",25,"3",0,"1","1","3","1","2",3,1,0,0,"1",30,"1","3","1",77502.678334,0.51
"2",51,"3",0,"1","1","2","1","2",2,0,0,1,"2",66,"1","4","3",16405.444524,0.84
"1",80,"3",1,"1","1","4","1","2",1,0,0,2,"1",80,"1","4","3",17775.764083,1.65
"1",50,"1",0,"1","1","4","1","2",1,0,0,0,"1",50,"1","4","6",18133.275391,5
"1",30,"3",0,"1","1","3","1","2",1,0,0,0,"1",30,"1","3","5",20433.705885,0.69
"2",70,"3",0,"1","1","5","1","2",2,0,0,2,"1",72,"1","5","1",49790.981474,5
"1",55,"3",1,"1","1","3","1","2",2,0,0,0,"1",55,"1","3","1",135541.860875,1.74
"1",24,"4",0,"1","1","4","1","2",2,0,0,0,"2",57,"2","1","5",22462.070921,1.42
"1",50,"1",0,"1","1","2","1","2",4,0,1,0,"1",50,"1","2","1",17790.466055,2.59
"2",66,"6",0,"1","1","4","1","2",2,0,0,2,"2",66,"1","4","1",16703.028206,3.38
"2",57,"4",1,"1","1","3","1","2",4,0,0,0,"2",57,"1","3","1",19026.580317,2.94
"1",74,"3",1,"1","1","3","1","2",3,0,0,2,"2",74,"1","4","1",43466.005552,4.3
"2",59,"4",0,"1","1","3","1","2",1,0,0,0,"2",59,"1","3","5",28044.667493,2.14
"1",80,"3",1,"1","1","4","1","2",1,0,0,1,"1",80,"1","4","2",38030.363265,2.18
"1",36,"3",0,"1","1","5","1","2",5,1,2,0,"1",36,"1","5","1",46336.969091,5
"2",20,"6",0,"2","1","4","1","2",4,0,0,2,"1",67,"1","5","1",37144.711607,4.61
"2",56,"4",0,"1","1","2","1","2",1,0,0,0,"2",56,"1","2","3",26316.267764,0.62
"2",60,"2",0,"2","1","3","2","2",5,1,0,2,"1",34,"2","4","1",12164.973942,3.22
"1",72,"7",1,"1","1","4","1","2",1,0,0,1,"1",72,"1","4","2",75541.091292,1.46
"2",76,"3",0,"1","1","3","1","2",4,0,1,1,"2",76,"1","3","2",59355.474988,0.87
"1",47,"3",1,"1","1","4","1","2",7,2,3,0,"1",47,"1","4","1",20572.398009,0.7
"2",44,"4",0,"1","1","5","1","2",3,0,2,0,"2",44,"1","5","3",25979.424831,4.55
"1",25,"2",0,"1","1","5","1","2",3,1,0,0,"1",25,"1","5","1",62211.875054,2.3
"1",80,"3",1,"1","1","4","1","2",2,0,0,2,"2",78,"1","4","1",30464.571461,4.45
