"SEQN","RIDAGEYR","DMDHRAGE","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","INDHHIN2","INDFMIN2","INDFMPIR"
77308,51,55,108329.716489,110579.197841,1,104,15,15,5
77309,1,42,10312.62993,10980.343441,1,114,6,6,1.06
77310,26,26,38103.628106,40700.503975,1,112,8,8,3.22
77311,38,38,39488.484731,41013.817295,1,117,6,6,1.54
77312,0,35,14372.903855,18805.02103,1,104,15,15,5
77313,67,24,13024.643652,13396.627601,1,106,6,6,1.38
77314,76,76,8346.825082,8697.389948,2,117,9,9,3.03
77315,20,65,73602.377382,78651.586869,2,115,7,7,2.23
77316,16,47,18427.304843,17884.366453,2,111,2,2,0.36
77317,77,77,20801.48658,0,2,116,4,4,1.02
77318,62,62,10912.034578,11811.736151,1,114,3,3,0.87
77319,51,51,126098.761743,135557.432062,2,112,14,14,5
77320,35,35,21264.008962,21114.726246,1,114,4,4,0.57
77322,24,20,24419.805262,25015.514811,1,108,9,6,2.18
77323,28,27,51973.717382,53185.046385,1,108,14,14,3.09
77325,16,46,20060.611218,19620.630434,2,107,8,8,1.65
77326,12,41,13029.928804,14301.404517,1,105,8,8,2.41
77327,2,37,12066.036603,12651.361456,1,109,15,15,3.7
77328,43,43,22677.597643,24533.972132,2,113,15,15,5
77329,4,40,41712.081631,47399.055771,1,114,15,15,5
77330,11,36,9643.66681,0,2,114,5,5,0.84
77331,54,50,81466.537705,82089.635802,2,112,15,15,4.48
77332,36,36,16701.797849,17276.502316,2,112,6,3,1.11
77333,70,70,73946.24124,75037.227942,1,105,15,15,5
77334,2,40,12240.075482,13305.751111,1,104,6,6,0.91
77335,10,38,49814.494109,61870.105397,2,107,1,1,0.01
77336,48,48,26355.014554,27110.497857,2,114,6,6,2.57
77337,23,64,23092.76413,24422.695244,2,106,7,2,0.69
77338,6,32,9493.757784,9719.385525,2,118,5,2,0.29
77339,41,47,39866.42433,39367.705769,1,107,8,8,2.76
77340,39,41,58624.834789,60026.425556,1,116,15,15,5
77341,49,49,83967.118127,83635.111401,2,109,7,7,3.26
77342,37,37,87991.58393,90323.7907,1,116,15,15,5
77343,2,43,9621.934987,9742.863001,1,118,12,4,0.54
77344,0,24,5286.422398,5326.999968,1,114,14,6,1.04
77345,1,54,28453.989898,29103.751583,1,105,6,6,1.44
77346,30,30,30701.699164,31068.149479,2,104,9,9,1.97
77347,80,80,30746.821016,31574.84183,2,104,10,10,5
77348,78,78,73281.215672,74482.766537,2,116,15,15,5
77349,53,53,16804.160223,18179.738662,2,106,15,15,5
77350,12,38,11825.018632,11992.958536,1,118,5,5,0.73
77351,80,56,15239.155551,14918.783967,1,111,9,9,2.63
77352,3,30,21874.813906,21708.108118,1,109,5,5,0.93
77353,19,26,19842.280851,20653.708297,2,111,2,2,0.4
77354,80,80,35867.435969,0,2,112,4,4,1.46
77355,71,71,28326.424436,29134.625034,1,116,3,3,0.9
77356,6,31,38772.969858,43413.790102,1,116,6,6,1.69
77359,2,24,7548.612152,7943.810782,2,105,2,2,0.51
77360,41,41,20271.346154,21289.44534,2,113,6,4,0.59
77361,3,43,37111.747736,51702.422792,2,113,14,14,4.5
